"","id","age","gender","test","comment","order","question_order","pref","dispref","label","unlabel","question","speaker","Age_Binned","speaker_bin","Trial"
"58","2543","9","girl",NA,"Because they said it like the knew more","1","dispref","tiger","zebra","cows","pigs","pref","Fluent","8-9",1,"Trial 1"
"59","2543","9","girl",NA,"Because they said it like the knew more","1","dispref","tiger","zebra","cows","pigs","basketball","Fluent","8-9",1,"Trial 1"
"60","2543","9","girl",NA,"Because they said it like the knew more","1","dispref","tiger","zebra","cows","pigs","dispref","Disfluent","8-9",0,"Trial 1"
"61","2543","9","girl",NA,"Because they said it like the knew more","1","dispref","tiger","zebra","cows","pigs","know_label","Fluent","8-9",1,"Trial 2"
"62","2543","9","girl",NA,"Because they said it like the knew more","1","dispref","tiger","zebra","cows","pigs","soccer","Fluent","8-9",1,"Trial 2"
"63","2543","9","girl",NA,"Because they said it like the knew more","1","dispref","tiger","zebra","cows","pigs","know_unlabel","Disfluent","8-9",0,"Trial 2"
"64","8373","4","boy",NA,"because the organe person knows more about pigs because they are smarter","4","pref","tiger","zebra","cows","pigs","pref","Fluent","4-5",1,"Trial 1"
"65","8373","4","boy",NA,"because the organe person knows more about pigs because they are smarter","4","pref","tiger","zebra","cows","pigs","basketball","Disfluent","4-5",0,"Trial 1"
"66","8373","4","boy",NA,"because the organe person knows more about pigs because they are smarter","4","pref","tiger","zebra","cows","pigs","dispref","Fluent","4-5",1,"Trial 1"
"67","8373","4","boy",NA,"because the organe person knows more about pigs because they are smarter","4","pref","tiger","zebra","cows","pigs","know_label","Fluent","4-5",1,"Trial 2"
"68","8373","4","boy",NA,"because the organe person knows more about pigs because they are smarter","4","pref","tiger","zebra","cows","pigs","soccer","Fluent","4-5",1,"Trial 2"
"69","8373","4","boy",NA,"because the organe person knows more about pigs because they are smarter","4","pref","tiger","zebra","cows","pigs","know_unlabel","Fluent","4-5",1,"Trial 2"
"70","RP-0205","4","boy",NA,"he Was looking at a cow too","4","dispref","tiger","zebra","cows","pigs","pref","Disfluent","4-5",0,"Trial 1"
"71","RP-0205","4","boy",NA,"he Was looking at a cow too","4","dispref","tiger","zebra","cows","pigs","basketball","Fluent","4-5",1,"Trial 1"
"72","RP-0205","4","boy",NA,"he Was looking at a cow too","4","dispref","tiger","zebra","cows","pigs","dispref","Disfluent","4-5",0,"Trial 1"
"73","RP-0205","4","boy",NA,"he Was looking at a cow too","4","dispref","tiger","zebra","cows","pigs","know_label","Fluent","4-5",1,"Trial 2"
"74","RP-0205","4","boy",NA,"he Was looking at a cow too","4","dispref","tiger","zebra","cows","pigs","soccer","Disfluent","4-5",0,"Trial 2"
"75","RP-0205","4","boy",NA,"he Was looking at a cow too","4","dispref","tiger","zebra","cows","pigs","know_unlabel","Fluent","4-5",1,"Trial 2"
"76","RP-0206","8","boy",NA,"the orange person knows more about animals","4","pref","tiger","zebra","cows","pigs","pref","Fluent","8-9",1,"Trial 1"
"77","RP-0206","8","boy",NA,"the orange person knows more about animals","4","pref","tiger","zebra","cows","pigs","basketball","Disfluent","8-9",0,"Trial 1"
"78","RP-0206","8","boy",NA,"the orange person knows more about animals","4","pref","tiger","zebra","cows","pigs","dispref","Disfluent","8-9",0,"Trial 1"
